name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h,Year,Quarter,Month,Day,DayName
Stacks,STX,$0.68,-4.00%,-16.00%,-1720.00%,$1213121436.47,$29992118.89,2025,Qtr 3,August,3,Sunday
Curve DAO Token,CRV,$0.88,-25.00%,-75.00%,-2012.00%,$1210892960.24,$181369883.8,2025,Qtr 3,August,3,Sunday
Celestia,TIA,$1.63,18.00%,203.00%,-1651.00%,$1193965073.99,$94141311.73,2025,Qtr 3,August,3,Sunday
Optimism,OP,$0.64,0.00%,128.00%,-1234.00%,$1123552198.2,$171933628.07,2025,Qtr 3,August,3,Sunday
Conflux,CFX,$0.21,-138.00%,1404.00%,1707.00%,$1095699286.65,$289135012.4,2025,Qtr 3,August,3,Sunday
Pump.fun,PUMP,$0,-39.00%,1036.00%,78.00%,$1023675395.76,$360296203.73,2025,Qtr 3,August,3,Sunday
PayPal USD,PYUSD,$1,-1.00%,0.00%,-2.00%,$1012041812.07,$23264005.23,2025,Qtr 3,August,3,Sunday
FLOKI,FLOKI,$0,-14.00%,31.00%,-2075.00%,$990057509.18,$113036609.1,2025,Qtr 3,August,3,Sunday
PAX Gold,PAXG,$3363.31,-1.00%,16.00%,18.00%,$953093598.78,$45441181.89,2025,Qtr 3,August,3,Sunday
The Graph,GRT,$0.09,-7.00%,13.00%,-1638.00%,$934285347.41,$39972102.83,2025,Qtr 3,August,3,Sunday
Fartcoin,FARTCOIN,$0.93,7.00%,10.00%,-3069.00%,$932942037.91,$161412667.57,2025,Qtr 3,August,3,Sunday
Immutable,IMX,$0.49,2.00%,20.00%,-1808.00%,$920767352.53,$29291228.77,2025,Qtr 3,August,3,Sunday
Ethereum Name Service,ENS,$24.77,-29.00%,-95.00%,-2050.00%,$905716593.4,$86865684.29,2025,Qtr 3,August,3,Sunday
PancakeSwap,CAKE,$2.55,-9.00%,-70.00%,-1091.00%,$879002751.02,$80030452.19,2025,Qtr 3,August,3,Sunday
dogwifhat,WIF,$0.87,-24.00%,95.00%,-1991.00%,$869000025.43,$290980729.87,2025,Qtr 3,August,3,Sunday
Sonic,S,$0.29,-22.00%,-23.00%,-1300.00%,$846642170.01,$111122705.22,2025,Qtr 3,August,3,Sunday
Tether Gold,XAUt,$3359.63,1.00%,11.00%,32.00%,$828228873.63,$19860855.93,2025,Qtr 3,August,3,Sunday
Kaia,KAIA,$0.14,-42.00%,-385.00%,-1879.00%,$826757155.48,$42228439.95,2025,Qtr 3,August,3,Sunday
Nexo,NEXO,$1.28,-34.00%,-104.00%,-231.00%,$825782344.85,$9447019.5,2025,Qtr 3,August,3,Sunday
Virtuals Protocol,VIRTUAL,$1.23,-69.00%,393.00%,-2243.00%,$805634050.08,$155703827.47,2025,Qtr 3,August,3,Sunday
